order_item_id,order_id,product_id,quantity,unit_price,discount,is_return,revenue,order_date,category,month
1,1,272,3,5.69,0.15,False,17.07,2022-12-07 09:41:23,Books & Media,2022-12
2,1,300,-1,133.29,0.15,True,-133.29,2022-12-07 09:41:23,Books & Media,2022-12
3,1,273,1,560.24,0.0,False,560.24,2022-12-07 09:41:23,Books & Media,2022-12
4,2,11,1,216.27,0.0,False,216.27,2024-06-30 10:09:52,Electronics,2024-06
5,2,239,3,517.8,0.15,False,1553.3999999999999,2024-06-30 10:09:52,Beauty & Health,2024-06
6,3,58,1,87.55,0.0,False,87.55,2022-04-21 08:21:52,Home & Kitchen,2022-04
7,3,70,1,402.01,0.0,False,402.01,2022-04-21 08:21:52,Home & Kitchen,2022-04
8,3,65,1,460.75,0.0,False,460.75,2022-04-21 08:21:52,Home & Kitchen,2022-04
9,3,279,2,226.81,0.0,False,453.62,2022-04-21 08:21:52,Books & Media,2022-04
10,3,174,1,864.84,0.0,False,864.84,2022-04-21 08:21:52,Sports & Outdoors,2022-04
11,4,106,1,150.04,0.1,False,150.04,2022-11-27 06:29:31,Apparel,2022-11
12,4,46,1,397.56,0.05,False,397.56,2022-11-27 06:29:31,Electronics,2022-11
13,5,173,1,587.7,0.1,False,587.7,2022-08-24 11:43:04,Sports & Outdoors,2022-08
14,5,13,2,152.16,0.05,False,304.32,2022-08-24 11:43:04,Electronics,2022-08
15,5,85,2,530.7,0.1,False,1061.4,2022-08-24 11:43:04,Home & Kitchen,2022-08
16,6,276,1,341.21,0.0,False,341.21,2023-01-25 17:30:16,Books & Media,2023-01
17,6,14,1,90.93,0.2,False,90.93,2023-01-25 17:30:16,Electronics,2023-01
18,7,44,1,6.81,0.0,False,6.81,2024-03-15 23:30:21,Electronics,2024-03
19,8,40,1,171.89,0.1,False,171.89,2024-01-13 10:27:21,Electronics,2024-01
20,8,22,1,205.71,0.0,False,205.71,2024-01-13 10:27:21,Electronics,2024-01
21,8,240,1,555.47,0.0,False,555.47,2024-01-13 10:27:21,Beauty & Health,2024-01
22,8,240,1,555.47,0.0,False,555.47,2024-01-13 10:27:21,Beauty & Health,2024-01
23,8,134,2,541.79,0.0,False,1083.58,2024-01-13 10:27:21,Apparel,2024-01
